UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN
100654,R,830,R,277,R,553,R,3,R,2,R,1,R,2,R,0,R,2,R,686,R,231,R,455,R,7,R,3,R,4,R,0,R,0,R,0,R,31,R,12,R,19,R,6,R,2,R,4,R,69,R,13,R,56,R,26,R,14,R,12,R,1,A,,R,1,R,0,A,,R,0,R,1,A,,R,1,R,829
100663,R,6362,R,2329,R,4033,R,9,R,1,R,8,R,430,R,166,R,264,R,1084,R,286,R,798,R,269,R,99,R,170,R,1,R,0,R,1,R,3337,R,1159,R,2178,R,226,R,78,R,148,R,294,R,110,R,184,R,712,R,430,R,282,R,16,A,,R,16,R,16,A,,R,16,R,32,A,,R,32,R,6330
100690,R,190,R,83,R,107,R,2,R,1,R,1,R,1,Z,0,R,1,R,113,R,33,R,80,R,6,R,3,R,3,R,1,R,1,Z,0,R,60,R,41,R,19,Z,0,Z,0,Z,0,R,7,R,4,R,3,Z,0,Z,0,Z,0,R,0,A,,R,0,R,0,A,,R,0,R,0,A,,R,0,R,190
100706,R,2138,R,1163,R,975,R,21,R,9,R,12,R,87,R,40,R,47,R,182,R,64,R,118,R,104,R,58,R,46,R,4,R,2,R,2,R,1446,R,823,R,623,R,72,R,31,R,41,R,71,R,37,R,34,R,151,R,99,R,52,R,0,S,,S,,R,0,S,,S,,R,0,S,,S,,S,
100724,R,663,R,200,R,463,R,1,R,0,R,1,R,2,R,1,R,1,R,577,R,168,R,409,R,6,R,2,R,4,R,2,R,2,R,0,R,41,R,12,R,29,R,10,R,2,R,8,R,5,R,1,R,4,R,19,R,12,R,7,R,0,A,,R,0,R,0,A,,R,0,R,0,A,,R,0,R,663
100751,R,8894,R,3522,R,5372,R,20,R,4,R,16,R,152,R,63,R,89,R,882,R,246,R,636,R,424,R,167,R,257,R,9,R,3,R,6,R,6831,R,2763,R,4068,R,244,R,75,R,169,R,66,R,30,R,36,R,266,R,171,R,95,R,0,A,,R,0,R,0,A,,R,0,R,0,A,,R,0,R,8894
100760,R,321,R,100,R,221,R,0,R,0,R,0,R,2,R,1,R,1,R,69,R,11,R,58,R,7,R,1,R,6,R,0,R,0,R,0,R,231,R,84,R,147,R,8,R,2,R,6,R,1,R,0,R,1,R,3,R,1,R,2,R,0,A,,R,0,A,,A,,A,,R,0,A,,R,0,R,321
100812,R,886,R,250,R,636,R,20,R,9,R,11,R,8,R,4,R,4,R,114,R,31,R,83,R,44,R,11,R,33,R,1,Z,0,R,1,R,661,R,187,R,474,R,26,R,5,R,21,R,9,R,2,R,7,R,3,R,1,R,2,R,0,A,,R,0,R,0,A,,R,0,R,0,A,,R,0,R,886
100830,R,1346,R,603,R,743,R,0,R,0,R,0,R,27,R,10,R,17,R,371,R,81,R,290,R,11,R,2,R,9,R,1,R,0,R,1,R,439,R,163,R,276,R,24,R,6,R,18,R,21,R,7,R,14,R,452,R,334,R,118,R,0,A,,R,0,R,0,A,,R,0,R,0,A,,R,0,R,1346
100858,R,7940,R,3845,R,4095,R,16,R,10,R,6,R,207,R,106,R,101,R,364,R,143,R,221,R,319,R,161,R,158,R,6,R,4,R,2,R,6259,R,2975,R,3284,R,210,R,99,R,111,R,21,R,13,R,8,R,538,R,334,R,204,R,0,A,,R,0,R,0,A,,R,0,R,0,A,,R,0,R,7940
101028,R,308,R,97,R,211,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,140,R,31,R,109,R,4,R,2,R,2,R,1,Z,0,R,1,R,135,R,58,R,77,R,23,R,6,R,17,R,4,Z,0,R,4,Z,0,Z,0,Z,0,R,0,A,,R,0,A,,A,,A,,R,0,A,,R,0,R,308
101116,R,77,R,14,R,63,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,49,R,7,R,42,R,1,Z,0,R,1,R,1,Z,0,R,1,R,22,R,6,R,16,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,1,R,1,Z,0,R,0,A,,R,0,R,0,A,,R,0,R,0,A,,R,0,R,77
101143,R,488,R,286,R,202,R,2,R,1,R,1,R,8,R,4,R,4,R,77,R,35,R,42,R,31,R,20,R,11,R,1,R,1,R,0,R,332,R,202,R,130,R,26,R,17,R,9,R,9,R,6,R,3,R,2,R,0,R,2,R,0,A,,R,0,A,,A,,A,,R,0,A,,R,0,R,488
101161,R,1349,R,539,R,810,R,21,R,6,R,15,R,11,R,8,R,3,R,273,R,93,R,180,R,58,R,27,R,31,R,1,R,0,R,1,R,920,R,384,R,536,R,55,R,18,R,37,R,7,R,1,R,6,R,3,R,2,R,1,R,0,A,,R,0,A,,A,,A,,R,0,A,,R,0,R,1349
101189,R,875,R,352,R,523,R,7,R,3,R,4,R,13,R,9,R,4,R,275,R,73,R,202,R,40,R,21,R,19,R,0,R,0,R,0,R,487,R,221,R,266,R,23,R,8,R,15,R,18,R,8,R,10,R,12,R,9,R,3,R,0,A,,R,0,R,0,A,,R,0,R,0,A,,R,0,R,875
101240,R,1006,R,402,R,604,R,6,R,1,R,5,R,8,R,4,R,4,R,131,R,41,R,90,R,77,R,37,R,40,R,0,R,0,R,0,R,723,R,294,R,429,R,37,R,14,R,23,R,12,R,6,R,6,R,12,R,5,R,7,R,0,A,,R,0,A,,A,,A,,R,0,A,,R,0,R,1006
101277,R,37,Z,0,R,37,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,7,Z,0,R,7,Z,0,Z,0,Z,0,R,29,Z,0,R,29,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,A,,R,0,A,,A,,A,,R,0,A,,R,0,R,37
101286,R,842,R,275,R,567,R,1,Z,0,R,1,R,12,R,4,R,8,R,244,R,43,R,201,R,17,R,6,R,11,R,2,Z,0,R,2,R,495,R,204,R,291,R,61,R,17,R,44,R,10,R,1,R,9,Z,0,Z,0,Z,0,R,0,A,,R,0,A,,A,,A,,R,0,A,,R,0,R,842
101295,R,1779,R,682,R,1097,R,11,R,3,R,8,R,9,R,7,R,2,R,135,R,29,R,106,R,138,R,63,R,75,R,1,R,1,R,0,R,1431,R,562,R,869,R,49,R,15,R,34,R,0,R,0,R,0,R,5,R,2,R,3,R,0,A,,R,0,A,,A,,A,,R,0,A,,R,0,R,1779
101301,R,279,R,112,R,167,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,227,R,83,R,144,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,40,R,22,R,18,R,5,R,3,R,2,R,1,R,1,R,0,R,2,R,2,R,0,R,0,A,,R,0,A,,A,,A,,R,0,A,,R,0,R,279
