UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
100654,7295,6683,6291,1004,2,87,2,0,0,0,0,2,3,3,59,30,6370,1968,225,3931,246,5673,1939,206,3523,5,697,29,19,408,241,2,89,2,0,0,0,0,2,1,2,58,925,618,307,5,70,0,0,0,0,0,0,16,9,67,,,,,,,,,,,,,,881,1061,0,26,45,54,0,1,4,66,29,4,69,27,7,43,50
100663,20905,17030,14679,6226,48,22,7,8,8,0,0,4,2,9,62,17,11959,2014,1098,8523,324,9592,1993,798,6744,57,2367,21,300,1779,267,46,27,8,9,9,0,0,5,1,3,63,8946,5087,3859,50,15,4,6,6,0,0,3,3,17,62,8143,1984,6159,3549,669,2880,4594,1315,3279,1,82,17,0,1624,320,70,0,81,16,3,0,28,41,31,19,58,22,39,19,42
100690,639,410,266,373,36,56,3,1,1,1,2,0,2,0,57,0,243,0,199,42,2,144,0,117,27,0,99,0,82,15,2,26,69,2,0,0,0,0,0,2,0,65,396,122,274,42,48,3,2,1,1,3,0,2,0,53,,,,,,,,,,,,,,,,,,,,,,100,0,0,100,0,0,100,0,0
100706,8564,7157,6286,2278,67,10,7,4,4,0,1,4,4,3,41,18,6800,1212,584,4795,209,5673,1200,435,4035,3,1127,12,149,760,206,67,10,8,4,4,0,1,5,4,1,39,1764,613,1151,66,8,4,4,4,0,1,1,4,11,46,2229,946,1283,824,466,358,1405,480,925,3,83,14,0,818,379,13,2,67,31,1,0,11,50,39,6,60,34,27,14,58
100724,4081,3803,3627,454,4,85,1,0,0,0,0,1,6,3,64,30,3521,1056,159,2262,44,3243,1053,158,2032,0,278,3,1,230,44,2,86,1,0,0,0,0,1,7,2,64,560,384,176,14,79,1,1,1,0,0,1,1,4,70,607,232,375,384,165,219,223,67,156,4,89,7,0,455,550,51,0,43,52,5,0,13,75,11,7,81,12,54,39,7
100751,40846,37196,34908,5938,69,12,7,2,2,0,0,4,3,3,57,23,34389,8032,1212,23983,1162,31038,7973,863,22137,65,3351,59,349,1846,1097,71,12,7,2,2,0,0,4,4,1,56,6457,3870,2587,61,13,6,3,2,0,0,3,2,13,63,6409,1958,4451,2835,655,2180,3574,1303,2271,4,91,6,0,3225,4734,56,17,40,59,1,0,15,29,55,10,33,57,45,11,45
100760,2140,1104,580,1560,66,22,6,1,1,0,0,4,0,0,61,13,2140,384,158,661,937,580,281,44,234,21,1560,103,114,427,916,66,22,6,1,1,0,0,4,0,0,61,0,0,0,,,,,,,,,,,,396,396,0,93,93,0,303,303,0,41,41,19,0,369,8,0,7,96,2,0,2,23,36,41,23,36,41,,,
100812,2986,1903,1196,1790,72,16,5,1,1,0,1,3,1,0,71,0,2535,0,697,1749,89,1117,0,438,676,3,1418,0,259,1073,86,74,14,6,1,1,0,1,4,1,0,72,451,79,372,62,30,3,2,2,0,1,2,1,0,65,1872,1466,406,550,485,65,1322,981,341,0,42,58,0,,,,,,,,,72,22,7,67,25,8,97,2,0
100830,5217,3671,2723,2494,33,33,1,2,2,0,0,3,4,23,60,10,3325,364,274,1904,783,2224,346,226,1452,200,1101,18,48,452,583,43,41,2,3,3,0,1,4,2,4,65,1892,499,1393,14,18,0,1,1,0,0,1,8,58,51,1802,674,1128,605,333,272,1197,341,856,15,64,20,0,295,39,0,30,81,11,0,8,26,36,38,25,42,32,27,25,48
100858,34145,30882,28856,5289,79,5,4,3,3,0,0,3,0,5,51,22,27907,6103,1201,19512,1091,25204,6081,1076,18020,27,2703,22,125,1492,1064,83,4,5,3,3,0,0,3,0,2,51,6238,3652,2586,62,8,4,3,3,0,0,2,0,21,53,4984,844,4140,2469,458,2011,2515,386,2129,3,94,3,0,3223,2785,12,83,53,46,0,1,10,32,59,5,37,58,30,9,62
